SequenceID	Subtype	Country-ISO	Year	Isolate-name
KU749411	A1	PK	14	DEMA114PK013
KU749423	A1	RW	06	DEMA106RW003
JX236677	A1	RW	07	pR463F
JX236678	A1	RW	07	pR880F
KU749424	A1	RW	08	DEMA108RW010
KF716472	A1	RW	11	DEMA111RW002
AB253421	A1	RW	92	92RW008
AB287376	A1	RW	92	92RW025A
AB287379	A1	RW	93	93RW037A
AY713406	A1	RW	93	93RW_024
AF069670	A1	SE	94	SE7253
AF069671	A1	SE	94	SE7535
AF069669	A1	SE	95	SE8538
AF069673	A1	SE	95	SE8891
AF107771	A1	SE	95	UGSE8131
AY253305	A1	TZ	01	A173
AY253314	A1	TZ	01	A341
AF361872	A1	TZ	97	97TZ02
AF361873	A1	TZ	97	97TZ03
JX236669	A1	UG	07	p191084
JX236671	A1	UG	07	p191845
JX236676	A1	UG	07	p9004SDM
KF716478	A1	UG	09	DEMA109UG001
KP109490	A1	UG	09	DEMA109UG017
KF859745	A1	UG	11	DEMA110UG001
KF716486	A1	UG	11	DEMA110UG009
M62320	A1	UG	85	U455_U455A
AB253429	A1	UG	92	92UG037_A40
AB098333	A1	UG	92	UG029
AF484507	A1	UG	98	98UG57134
AF484508	A1	UG	98	98UG57135
AF484509	A1	UG	98	98UG57136
AF484512	A1	UG	98	98UG57142
AF484478	A1	UG	99	99UGA07072
AF484493	A1	UG	99	99UGG03379
AB098331	A1	UG	x	UG031
AB485632	A1	UG	x	UG275
KJ948658	A1	ZA	00	TV096
DQ396400	A1	ZA	04	04ZASK162B1
KT183312	A1	ZA	04	503_15344_T10_A1
AF286238	A2	CD	97	97CDKTB48
GU201516	A2	CM	01	01CM_1445MV
AF286237	A2	CY	94	94CY017_41
AY521629	A3	SN	01	DDI579
AY521631	A3	SN	01	DDJ369
AY521630	A3	SN	96	DDJ360
AM000053	A4	CD	97	97CD_KCC2
AM000054	A4	CD	97	97CD_KTB13
KT983615	A6	BY	13	PV85
FJ388906	A6	CY	05	CY057
FJ388950	A6	CY	06	CY171
FJ388951	A6	CY	06	CY173
JF683763	A6	CY	07	CY213
JF683798	A6	CY	09	CY255
DQ207944	A6	GE	99	99GEMZ011
EU861977	A6	IT	02	60000
EF545108	A6	RU	00	RU00051
JQ292895	A6	RU	05	RU_560_1125_JA
JQ292896	A6	RU	06	RU_915_1016
JQ292897	A6	RU	06	RU_915_1035
JQ292898	A6	RU	06	RU_915_1038
JQ292899	A6	RU	06	RU_915_1041
JQ292900	A6	RU	06	RU_SP_B_049
JQ292891	A6	RU	07	Irkutsk_5
KF716491	A6	RU	08	DEMA108RU003
KF716492	A6	RU	08	DEMA108RU004
KY238327	A6	RU	08	MSK_SK_006_2
FJ864679	A6	RU	08	PokA1Ru
JQ292893	A6	RU	08	RUA001
JQ292894	A6	RU	08	RUA007
JX500696	A6	RU	10	10RU6617
JX500695	A6	RU	10	10RU6792
JX500694	A6	RU	11	11RU6950
AF413987	A6	UA	00	98UA0116
DQ823357	A6	UA	01	01UADN139
DQ823366	A6	UA	01	01UAOD35
KU749399	A6	UA	11	DEMA111UA002
KU749400	A6	UA	11	DEMA111UA008
KU749401	A6	UA	11	DEMA111UA009
KU749402	A6	UA	12	DEMA112UA014
KU749403	A6	UA	12	DEMA112UA024
KU749404	A6	UA	12	DEMA112UA030
KU749405	A6	UA	12	DEMA112UA034
KU749406	A6	UA	12	DEMA112UA036
KU749407	A6	UA	12	DEMA112UA042
AY037269	B	AR	00	ARMS008
DQ383746	B	AR	02	02AR114146
DQ383748	B	AR	03	03AR137681
DQ383749	B	AR	03	03AR138910
DQ383750	B	AR	04	04AR143170
DQ383751	B	AR	04	04AR151263
DQ383752	B	AR	04	04AR151516
AY037268	B	AR	98	ARCH054
AY037282	B	AR	99	ARMA132
DQ676874	B	AU	02	PS2008_Day0
DQ676881	B	AU	03	PS2019_Day171
DQ676885	B	AU	03	PS3002_Day385
DQ676886	B	AU	03	PS4048_Day0
DQ676871	B	AU	04	PS1038_Day174
DQ676879	B	AU	04	PS2016_Day380
AF042100	B	AU	86	MBC200
AF042101	B	AU	87	MBC925
AF538304	B	AU	95	C24
AF538305	B	AU	95	C42
AF538306	B	AU	95	C76
AF538307	B	AU	95	C92
AF042103	B	AU	95	MBCC54
AF042104	B	AU	96	MBCC98
AF042105	B	AU	96	MBCD36
AF538302	B	AU	99	1181
AY857022	B	AU	x	2870718
AY857127	B	AU	x	7894552
AY857144	B	AU	x	8634991
AY857165	B	AU	x	9125091
AF146728	B	AU	x	VH_VHPCR
AY037270	B	BO	99	BOL0122
DQ358805	B	BR	02	02BR002
DQ358808	B	BR	02	02BR008
DQ358809	B	BR	02	02BR011
DQ358810	B	BR	02	02BR013
JN692432	B	BR	02	02BR1013
JN692435	B	BR	02	02BR2025
JN692439	B	BR	02	02BR2032
JN692440	B	BR	02	02BR2033
JN692443	B	BR	02	02BR2041
JN692444	B	BR	02	02BR2042
JN692433	B	BR	02	04BR1064
JN692470	B	BR	02	05BR1094
JN692445	B	BR	03	03BR1020
JN692447	B	BR	03	03BR1046
EF637057	B	BR	03	BREPM1023
EF637056	B	BR	03	BREPM1024
EF637054	B	BR	03	BREPM1027
EF637053	B	BR	03	BREPM1028
EF637051	B	BR	03	BREPM1032
EF637050	B	BR	03	BREPM1033
EF637049	B	BR	03	BREPM1035
EF637048	B	BR	03	BREPM1038
EF637047	B	BR	03	BREPM1040
EF637046	B	BR	03	BREPM2012
JN692450	B	BR	04	04BR1047
JN692451	B	BR	04	04BR1049
JN692452	B	BR	04	04BR1051
JN692453	B	BR	04	04BR1054
JN692454	B	BR	04	04BR1055
JN692455	B	BR	04	04BR1057
JN692457	B	BR	04	04BR1068
FJ195090	B	BR	04	BREPM1066
FJ195086	B	BR	04	BREPM1070
JN692460	B	BR	05	05BR1077
JN692461	B	BR	05	05BR1078
JN692462	B	BR	05	05BR1079
JN692463	B	BR	05	05BR1080
JN692465	B	BR	05	05BR1082
JN692467	B	BR	05	05BR1089
JN692468	B	BR	05	05BR1092
JN692471	B	BR	05	05BR1095
JN692473	B	BR	05	05BR1101
JN692474	B	BR	05	05BR1104
JN692475	B	BR	05	05BR1107
FJ195091	B	BR	05	BREPM1081
FJ195088	B	BR	05	BREPM1084
FJ195089	B	BR	05	BREPM1093
JN692479	B	BR	06	06BR1115
JN692480	B	BR	06	06BR1119
KU749389	B	BR	09	DEMB09BR040
KT427690	B	BR	10	10BR_MG006
KJ849786	B	BR	10	10BR_MG007
KT427689	B	BR	10	10BR_MG009
KT427688	B	BR	10	10BR_MG011
KT427687	B	BR	10	10BR_MG012
KT427686	B	BR	10	10BR_MG013
KT427685	B	BR	10	10BR_MG014
KT427684	B	BR	10	10BR_MG016
KT427683	B	BR	10	10BR_MG018
KT427682	B	BR	10	10BR_MG020
KT427681	B	BR	10	10BR_MG024
KT427680	B	BR	10	10BR_MG028
KJ849804	B	BR	10	10BR_MG035
KT427676	B	BR	10	10BR_MG038
KT427675	B	BR	10	10BR_MG039
KT427673	B	BR	10	10BR_MG041
KT427671	B	BR	10	10BR_MG044
KT427670	B	BR	10	10BR_MG045
KT427669	B	BR	10	10BR_MG049
KT427747	B	BR	10	10BR_PE003
KJ849788	B	BR	10	10BR_PE010
KT427744	B	BR	10	10BR_PE012
KT427743	B	BR	10	10BR_PE013
KT427742	B	BR	10	10BR_PE014
KT427740	B	BR	10	10BR_PE019
KT427739	B	BR	10	10BR_PE020
KT427738	B	BR	10	10BR_PE021
KT427737	B	BR	10	10BR_PE022
KT427735	B	BR	10	10BR_PE024
KT427734	B	BR	10	10BR_PE028
KT427733	B	BR	10	10BR_PE030
KT427732	B	BR	10	10BR_PE031
KT427731	B	BR	10	10BR_PE033
KJ849803	B	BR	10	10BR_PE034
KT427730	B	BR	10	10BR_PE035
KT427729	B	BR	10	10BR_PE036
KT427728	B	BR	10	10BR_PE037
KT427727	B	BR	10	10BR_PE038
KT427725	B	BR	10	10BR_PE040
KT427724	B	BR	10	10BR_PE041
KT427723	B	BR	10	10BR_PE042
KT427721	B	BR	10	10BR_PE044
KT427720	B	BR	10	10BR_PE045
KT427719	B	BR	10	10BR_PE047
KT427718	B	BR	10	10BR_PE048
KT427717	B	BR	10	10BR_PE049
KT427716	B	BR	10	10BR_PE051
KT427715	B	BR	10	10BR_PE052
KJ849767	B	BR	10	10BR_PE053
KT427714	B	BR	10	10BR_PE054
KT427713	B	BR	10	10BR_PE058
KT427870	B	BR	10	10BR_PE061
KT427850	B	BR	10	10BR_PE062_1
KT427712	B	BR	10	10BR_PE067
KT427711	B	BR	10	10BR_PE068
KT427709	B	BR	10	10BR_PE072
KT427708	B	BR	10	10BR_PE074
KT427707	B	BR	10	10BR_PE076
KT427706	B	BR	10	10BR_PE077
KT427704	B	BR	10	10BR_PE079
KT427872	B	BR	10	10BR_PE081
KT427703	B	BR	10	10BR_PE082
KT427702	B	BR	10	10BR_PE083
KT427873	B	BR	10	10BR_PE089
KJ849817	B	BR	10	10BR_PE091
KT427701	B	BR	10	10BR_PE093
KT427700	B	BR	10	10BR_PE095
KT427699	B	BR	10	10BR_PE096
KJ849818	B	BR	10	10BR_PE097
KJ849819	B	BR	10	10BR_PE098
KJ849820	B	BR	10	10BR_PE100
KT427697	B	BR	10	10BR_PE101
KT427696	B	BR	10	10BR_PE103
KJ849780	B	BR	10	10BR_PE104
KT427695	B	BR	10	10BR_PE105
KT427694	B	BR	10	10BR_PE106
KT427692	B	BR	10	10BR_PE110
KT427691	B	BR	10	10BR_PE112
KT427792	B	BR	10	10BR_RJ005
KT427791	B	BR	10	10BR_RJ008
KT427788	B	BR	10	10BR_RJ016
KT427787	B	BR	10	10BR_RJ017
KT427786	B	BR	10	10BR_RJ019
KT427785	B	BR	10	10BR_RJ020
KT427784	B	BR	10	10BR_RJ024
KT427783	B	BR	10	10BR_RJ025
KT427781	B	BR	10	10BR_RJ030
KJ849801	B	BR	10	10BR_RJ032
KT427650	B	BR	10	10BR_RJ040
KT427777	B	BR	10	10BR_RJ042
KJ849811	B	BR	10	10BR_RJ050
KT427775	B	BR	10	10BR_RJ052
KJ849814	B	BR	10	10BR_RJ054
KT427865	B	BR	10	10BR_RJ056
KT427772	B	BR	10	10BR_RJ064
KT427771	B	BR	10	10BR_RJ067
KT427770	B	BR	10	10BR_RJ068
KT427769	B	BR	10	10BR_RJ078
KT427768	B	BR	10	10BR_RJ079
KT427767	B	BR	10	10BR_RJ081
KT427766	B	BR	10	10BR_RJ083
KT427765	B	BR	10	10BR_RJ085
KT427764	B	BR	10	10BR_RJ086
KT427763	B	BR	10	10BR_RJ088
KT427762	B	BR	10	10BR_RJ089
KT427761	B	BR	10	10BR_RJ090
KT427757	B	BR	10	10BR_RJ097
KT427756	B	BR	10	10BR_RJ098
KT427755	B	BR	10	10BR_RJ099
KT427754	B	BR	10	10BR_RJ100
KT427753	B	BR	10	10BR_RJ101
KT427751	B	BR	10	10BR_RJ106
KT427750	B	BR	10	10BR_RJ107
KT427749	B	BR	10	10BR_RJ110
KT427748	B	BR	10	10BR_RJ111
KT427830	B	BR	10	10BR_SP002
KJ849785	B	BR	10	10BR_SP003
KT427829	B	BR	10	10BR_SP004
KT427827	B	BR	10	10BR_SP006
KT427826	B	BR	10	10BR_SP007
KT427824	B	BR	10	10BR_SP012
KJ849790	B	BR	10	10BR_SP014
KT427819	B	BR	10	10BR_SP019
KJ849796	B	BR	10	10BR_SP021
KT427815	B	BR	10	10BR_SP027
KT427811	B	BR	10	10BR_SP032
KT427808	B	BR	10	10BR_SP036
KJ849805	B	BR	10	10BR_SP038
KJ849807	B	BR	10	10BR_SP043
KT427805	B	BR	10	10BR_SP044
KJ849808	B	BR	10	10BR_SP045
KT427804	B	BR	10	10BR_SP047
KJ849812	B	BR	10	10BR_SP050
KT427803	B	BR	10	10BR_SP051
KT427802	B	BR	10	10BR_SP052
KJ849815	B	BR	10	10BR_SP055
KT427799	B	BR	10	10BR_SP062
KT427797	B	BR	10	10BR_SP065
KT427796	B	BR	10	10BR_SP067
KT427794	B	BR	10	10BR_SP074
KU749390	B	BR	10	DEMB10BR038
AY173956	B	BR	89	BZ167
JF320413	B	CA	06	502_1027_wg01
JF320427	B	CA	06	502_1799_FL02
JF320424	B	CA	07	502_1191_03
AY314056	B	CA	96	WC10C_4
AY779553	B	CA	97	CANB3FULL
DQ322223	B	CA	x	GOL016V01
DQ322227	B	CA	x	HDM003V01
DQ322225	B	CA	x	HND_DRPI039V01
JQ403022	B	CH	00	HIV_CH_BID_V3529_2000
JQ403023	B	CH	00	HIV_CH_BID_V3530_2000
KC797171	B	CH	00	M1_0007251_NFLG95
JQ403024	B	CH	01	HIV_CH_BID_V3531_2001
JQ403025	B	CH	01	HIV_CH_BID_V3533_2001
JQ403026	B	CH	01	HIV_CH_BID_V3534_2001
JQ403019	B	CH	02	HIV_CH_BID_V3511_2002
JQ403021	B	CH	02	HIV_CH_BID_V3527_2002
JQ403029	B	CH	02	HIV_CH_BID_V3539_2002
JQ403047	B	CH	02	HIV_CH_BID_V4478_2002
JQ403045	B	CH	03	HIV_CH_BID_V4470_2003
JQ403046	B	CH	03	HIV_CH_BID_V4474_2003
JQ403042	B	CH	04	HIV_CH_BID_V4408_2004
KC797225	B	CH	08	M2_0803101_NFLG8
AY180905	B	CN	01	CNHN24
DQ007903	B	CN	02	02HNsc11
JF932492	B	CN	03	SHXDC0081
DQ990880	B	CN	05	05CNHB_hp3
JF932482	B	CN	06	CC056
JF932468	B	CN	07	AH070011
JF932469	B	CN	07	AH070014
JF932470	B	CN	07	AH070017
JF932471	B	CN	07	AH070018
JF932472	B	CN	07	AH070057
JF932473	B	CN	07	BJ070030
JF932474	B	CN	07	CBJC261
JF932475	B	CN	07	CBJC392
JF932476	B	CN	07	CBJC394
JF932477	B	CN	07	CBJC396
JF932483	B	CN	07	FJ070016
JF932484	B	CN	07	GS070017
JF932485	B	CN	07	GZ070002
JF932486	B	CN	07	GZ070030
JF932487	B	CN	07	HB070006
JF932488	B	CN	07	HB070022
JF932489	B	CN	07	HB070035
JF932490	B	CN	07	JL070038
JF932491	B	CN	07	JS070389
JF932493	B	CN	07	SX070080
JF932499	B	CN	07	hb070025
JF932500	B	CN	07	hen1345
HQ215554	B	CN	08	1106
JF932478	B	CN	08	CBJC476
JF932479	B	CN	08	CBJC489
JF932480	B	CN	08	CBJC500
JF932481	B	CN	08	CBJC503
JF932498	B	CN	08	cbjc468
JX960597	B	CN	09	09LNA014
JX960599	B	CN	09	09LNA336
JX960598	B	CN	09	09LNA439
KC899011	B	CN	09	09YNRL215042sg
HQ215556	B	CN	09	1121
KC596066	B	CN	09	DEMB09CN002
JF932494	B	CN	09	YN09P0014
JF932497	B	CN	09	ZK042
JX140658	B	CN	10	DEMB10CN002
KP109511	B	CN	12	DEMB12CN006
KP109512	B	CN	12	DEMB12CN010
JF932495	B	CN	98	YN9802
JF932496	B	CN	98	YN9838
GU177863	B	CN	99	plwj
U71182	B	CN	x	RL42
AY561236	B	CO	01	PCM001
AY561237	B	CO	01	PCM013
AY561238	B	CO	01	PCM034
AY561240	B	CO	01	PCM074
KR914675	B	CU	12	12CU087
KR914676	B	CU	14	14CU005
KR914677	B	CU	14	14CU006
KR914678	B	CU	14	14CU007
AY586542	B	CU	99	Cu19
AY586543	B	CU	99	Cu43
FJ388890	B	CY	05	CY018
FJ388895	B	CY	05	CY028
FJ388898	B	CY	05	CY032
FJ388957	B	CY	05	CY033
FJ388958	B	CY	05	CY035
FJ388899	B	CY	05	CY037
FJ388904	B	CY	05	CY055
FJ388905	B	CY	05	CY056
FJ388911	B	CY	05	CY067
FJ388960	B	CY	05	CY070
FJ388914	B	CY	05	CY072
FJ388915	B	CY	05	CY074
FJ388916	B	CY	05	CY075
FJ388962	B	CY	05	CY082
FJ388919	B	CY	05	CY088
FJ388963	B	CY	05	CY096
FJ388924	B	CY	05	CY097
FJ388964	B	CY	05	CY100
FJ388927	B	CY	05	CY110
FJ388930	B	CY	05	CY113
FJ388931	B	CY	05	CY120
FJ388933	B	CY	05	CY124
FJ388934	B	CY	05	CY130
FJ388935	B	CY	05	CY131
FJ388936	B	CY	05	CY132
FJ388965	B	CY	05	CY142
FJ388940	B	CY	05	CY149
FJ388947	B	CY	06	CY165
FJ388955	B	CY	06	CY180
JF683738	B	CY	07	CY184
JF683741	B	CY	07	CY188
JF683742	B	CY	07	CY189
JF683743	B	CY	07	CY190
JF683747	B	CY	07	CY195
JF683749	B	CY	07	CY197
JF683750	B	CY	07	CY198
JF683751	B	CY	07	CY199
JF683753	B	CY	07	CY201
JF683754	B	CY	07	CY202
JF683756	B	CY	07	CY204
JF683764	B	CY	07	CY214
JF683765	B	CY	07	CY216
JF683769	B	CY	08	CY220
JF683773	B	CY	08	CY224
JF683775	B	CY	08	CY226
JF683778	B	CY	08	CY229
JF683781	B	CY	08	CY232
JF683784	B	CY	08	CY237
JF683785	B	CY	08	CY238
JF683787	B	CY	09	CY241
JF683788	B	CY	09	CY242
JF683790	B	CY	09	CY244
JF683793	B	CY	09	CY250
JF683794	B	CY	09	CY251
JF683796	B	CY	09	CY253
JF683797	B	CY	09	CY254
JF683801	B	CY	09	CY258
JF683804	B	CY	09	CY262
JF683805	B	CY	09	CY263
JF683807	B	CY	09	CY266
JQ403048	B	DE	03	HIV_DE_BID_V3307_2003
JQ416158	B	DE	04	9213_d0
KT124812	B	DE	04	963987
JQ403037	B	DE	04	HIV_DE_BID_V4131_2004
KT124803	B	DE	07	906153
KT124751	B	DE	08	147984
KT124752	B	DE	08	154162
KT124755	B	DE	08	176952
KT124757	B	DE	08	255524
KT124762	B	DE	08	296004
KT124788	B	DE	08	637829
KT124789	B	DE	08	654207
KT124794	B	DE	08	822582
KT124800	B	DE	08	882283
KT124810	B	DE	08	954229
KT124749	B	DE	09	136172
KT124753	B	DE	09	159793
KT124754	B	DE	09	172508
KT124782	B	DE	09	585067
KT124805	B	DE	09	923040
KT124760	B	DE	10	290307
KT124763	B	DE	10	320435
KT124772	B	DE	10	464704
KT124779	B	DE	10	556743
KT124780	B	DE	10	571373
KT124783	B	DE	10	587196
KT124797	B	DE	10	863847
KT124802	B	DE	11	891676
KT124765	B	DE	12	328893
KT124787	B	DE	12	635056
KT124811	B	DE	12	956306
KT124767	B	DE	13	366396
KT124808	B	DE	13	947915
U43096	B	DE	86	D31
U43141	B	DE	86	HAN
KC596067	B	DE	x	DEMBXXDE001
EF514704	B	DK	01	CTL_016
EF514705	B	DK	01	CTL_017
EF514706	B	DK	01	CTL_018
EF514707	B	DK	01	CTL_023
EF514708	B	DK	01	CTL_030
EF514709	B	DK	01	CTL_033
EF514710	B	DK	01	CTL_035
EF514711	B	DK	01	CTL_041
EF514712	B	DK	01	CTL_043
EF514699	B	DK	04	PMVL_012
EF514700	B	DK	04	PMVL_013
EF514697	B	DK	04	PMVL_018
EF514702	B	DK	04	PMVL_025
EF514698	B	DK	04	PMVL_027
EF514703	B	DK	04	PMVL_039
EF514701	B	DK	04	PMVL_049
FJ694790	B	DK	07	PMVL_011
EU839597	B	DO	05	05DO_160884
EU839596	B	DO	05	05DO_162387
EU839598	B	DO	05	05DO_163007
AY173959	B	EC	89	EC003
AY173960	B	EC	89	EC102
KT200351	B	ES	05	R15
EU786672	B	ES	05	X1890
KT200350	B	ES	06	R14
EU786674	B	ES	06	X1958
EU786675	B	ES	06	X1959
EU786677	B	ES	06	X2102
EU786678	B	ES	07	X2149
EU786679	B	ES	07	X2210_3
EU786680	B	ES	07	X2231
GQ372988	B	ES	08	ES_X2515_3
GQ372990	B	ES	08	ES_X2556_3
FJ670531	B	ES	08	P2008
KT200349	B	ES	08	R11
KT200354	B	ES	08	R5
KT200358	B	ES	08	R9
FJ670525	B	ES	08	X2425_2
FJ853622	B	ES	08	X2510_2
GU362883	B	ES	08	X2555_2
GU362886	B	ES	08	X2574_2
JX140656	B	ES	09	DEMB09BO001
KC473841	B	ES	09	DEMB09ES007
GU362881	B	ES	09	P2149_3
GU362885	B	ES	09	X2689_2
KC473842	B	ES	10	DEMB10ES002
JX140659	B	ES	10	DEMB10VE001
KT200352	B	ES	10	R3
KT200353	B	ES	10	R4
KT200355	B	ES	10	R6
KT200356	B	ES	10	R7
KT200357	B	ES	10	R8
KP109518	B	ES	13	DEMB13ES010
KT200348	B	ES	13	P6
KT276255	B	ES	14	ARP1195
KT276256	B	ES	14	ARP1196
KT276262	B	ES	14	ARP1202
KT276263	B	ES	14	ARP1203
KT276264	B	ES	14	ARP1204
KT276266	B	ES	14	ARP1206
KT276267	B	ES	14	ARP1207
KT276268	B	ES	14	ARP1208
KU685591	B	ES	14	EUR_0031
KU685583	B	ES	14	EUR_0043
KU685584	B	ES	14	EUR_0044
KU685585	B	ES	14	EUR_0045
KU685586	B	ES	14	EUR_0046
KU685589	B	ES	14	EUR_0052
KU685590	B	ES	14	EUR_0053
DQ854716	B	ES	89	U61
KU168261	B	FR	03	LA06ToXa
JX140652	B	FR	05	DEMB05FR001
JX140654	B	FR	08	DEMB08FR002
KF716494	B	FR	09	DEMB09FR001
KF716495	B	FR	09	DEMB09FR002
KF716496	B	FR	11	DEMB11FR001
AY713411	B	FR	92	92FR_BX08
M26727	B	GA	88	OYI_397
HM586187	B	GB	03	MM33d12p
HM586193	B	GB	04	MM39d11p
HM586198	B	GB	04	MM42d22_GN1
HM586209	B	GB	05	MM43d368_GN1
HM586212	B	GB	05	MM45d213_GN1
D10112	B	GB	83	CAM1
AJ271445	B	GB	86	GB8_46R
KJ019215	B	GB	94	NIBSC_1
U23487	B	GB	x	MANC
DQ207940	B	GE	03	03GEMZ004
DQ207942	B	GE	03	03GEMZ010
DQ207943	B	GE	98	98GEMZ003
FJ460500	B	HK	06	HK003
FJ460501	B	HK	06	HK004
EU839602	B	HT	05	05HT_129389
EU839603	B	HT	05	05HT_129473
EU839600	B	HT	05	05HT_129517
EU839601	B	HT	05	05HT_129696
EU839604	B	HT	05	05HT_129805
EF694037	B	IN	x	11807
DQ672623	B	IT	05	SG1
EU839605	B	JM	05	05JM_KJ108
AB289588	B	JP	00	DR2508
AB428552	B	JP	01	134
AB289590	B	JP	01	DR388
AB428554	B	JP	02	197
AB428555	B	JP	03	227
AB221125	B	JP	04	04JPDR6075B
AB480696	B	JP	04	DR5913
AB286955	B	JP	04	DR6089
AB480692	B	JP	04	DR6174
AB480694	B	JP	04	DR6175
AB428556	B	JP	05	426
AB428557	B	JP	05	436
AB287363	B	JP	05	DR6538
AB287364	B	JP	05	DR6737
AB287366	B	JP	05	DR7060
AB287368	B	JP	05	DR7065
AB428562	B	JP	06	574
AB731663	B	JP	08	NMC104_clone_01
AB731667	B	JP	09	NMC127_clone_07
KF716497	B	JP	11	DEMB11JP002
AB731669	B	JP	11	NMC851C_clone_13
KF716498	B	JP	12	DEMB12JP001
AB480698	B	JP	98	DR1120
AB287370	B	JP	99	DR1348
AB564745	B	JP	x	DR1673
AB604946	B	JP	x	DR1712
AB604948	B	JP	x	DR1777
AB565496	B	JP	x	JRC03B
AB565497	B	JP	x	JRC05B
AB565502	B	JP	x	JRC65B
AB565478	B	JP	x	pJPDR0796B02
AB641836	B	JP	x	pJRC57B09
KJ140264	B	KR	02	HP_19_02LGS11_3443
KJ140265	B	KR	02	HP_20_02KJO10_3480
KJ140249	B	KR	02	HP_4_02KGJ10_4782
JQ316131	B	KR	03	03HJY8
JQ316128	B	KR	03	03KDE11
JQ316132	B	KR	03	03KGS5
JQ316127	B	KR	03	03LSH1
JQ316135	B	KR	03	03YGS3
JQ316133	B	KR	04	04CWS5
JQ316130	B	KR	04	04KJS8
DQ295193	B	KR	04	04KMH5
JQ316126	B	KR	04	04KMK5
AY839827	B	KR	04	04LHS6
DQ295192	B	KR	04	04LSK7
DQ295194	B	KR	04	04WK7_HIV_1_wk
DQ837381	B	KR	05	05CSR3
