#,Patient Code,PAT id(SSAM),Accession,Name,Subtype,Sampling Year,Country,HXB2/MAC239 start,HXB2/MAC239 stop,Sequence Length,Organism
138,,,JF683763,CY213,A6,2007,CY,,,,
139,,,JF683767,CY218,A1,2008,CY,,,,
140,,,JF683779,CY230,A1,2008,CY,,,,
141,,,JF683780,CY231,A6,2008,CY,,,,
142,,,JF683782,CY235,A1,2008,CY,,,,
143,,,JF683783,CY236,A1,2008,CY,,,,
144,,,JF683789,CY243,A1,2009,CY,,,,
145,,,JF683798,CY255,A6,2009,CY,,,,
146,,,JQ292891,Irkutsk_5,A6,2007,RU,,,,
147,,,JQ292892,RU01029,A6,2002,RU,,,,
148,,,JQ292893,RUA001,A6,2008,RU,,,,
149,,,JQ292894,RUA007,A6,2008,RU,,,,
150,,,JQ292895,RU_560_1125_JA,A6,2005,RU,,,,
151,,,JQ292896,RU_915_1016,A6,2006,RU,,,,
152,,,JQ292897,RU_915_1035,A6,2006,RU,,,,
153,,,JQ292898,RU_915_1038,A6,2006,RU,,,,
154,,,JQ292899,RU_915_1041,A6,2006,RU,,,,
155,,,JQ292900,RU_SP_B_049,A6,2006,RU,,,,
156,,,JQ403028,HIV_CH_BID-V3538_2003,A,2003,CH,,,,
157,,,JX140650,DEMA105TZ001,A1,2005,ES,,,,
158,,,JX140651,DEMA106ES002,A1,2006,ES,,,,
159,,,JX236669,p191084,A1,2007,UG,,,,
160,,,JX236671,p191845,A1,2007,UG,,,,
161,,,JX236676,p9004SDM,A1,2007,UG,,,,
162,,,JX236677,pR463F,A1,2007,RW,,,,
163,,,JX236678,pR880F,A1,2007,RW,,,,
164,,,JX500694,11RU6950,A6,2011,RU,,,,
165,,,JX500695,10RU6792,A6,2010,RU,,,,
166,,,JX500696,10RU6617,A6,2010,RU,,,,
167,,,KC596070,DEMA07UG005,A1,2007,UG,,,,
168,,,KF716472,DEMA111RW002,A1,2011,RW,,,,
169,,,KF716474,DEMA111KE002,A1,2011,KE,,,,
170,,,KF716475,DEMA11KE001,A1,2011,KE,,,,
171,,,KF716478,DEMA109UG001,A1,2009,UG,,,,
172,,,KF716486,DEMA110UG009,A1,2011,UG,,,,
173,,,KF716491,DEMA108RU003,A6,2008,RU,,,,
174,,,KF716492,DEMA108RU004,A6,2008,RU,,,,
175,,,KF716499,DEMA03RW001,A1,2003,RW,,,,
176,,,KF716500,DEMA03UG002,A1,2007,UG,,,,
177,,,KF859745,DEMA110UG001,A1,2011,UG,,,,
178,,,KJ190253,R463F_030907_FL28,A1,2007,RW,,,,
179,,,KJ190254,R463F_030907_FL39,A1,2007,RW,,,,
180,,,KJ190256,R463F_030907_FL49,A1,2007,RW,,,,
181,,,KJ190257,R463F_030907_FL55,A1,2007,RW,,,,
182,,,KJ190258,R463F_030907_FL64,A1,2007,RW,,,,
183,,,KJ190259,R463F_030907_FL65,A1,2007,RW,,,,
184,,,KJ190260,R463F_030907_FL70,A1,2007,RW,,,,
185,,,KJ190261,R463F_030907_FL71,A1,2007,RW,,,,
186,,,KJ190262,R463F_030907_FL74,A1,2007,RW,,,,
187,,,KJ190263,R880FPB_A17,A1,2007,RW,,,,
188,,,KJ190264,R880FPB_A18,A1,2007,RW,,,,
189,,,KJ190265,R880FPB_A2,A1,2007,RW,,,,
190,,,KJ190266,R880FPB_A22,A1,2007,RW,,,,
191,,,KJ190267,R880FPB_A7,A1,2007,RW,,,,
192,,,KJ190268,R880FPB_D12,A1,2007,RW,,,,
193,,,KJ190269,R880FPL_A6,A1,2007,RW,,,,
194,,,KJ190270,R880FPL_A7,A1,2007,RW,,,,
195,,,KJ190271,R880FPL_A9,A1,2007,RW,,,,
196,,,KJ190273,R880FPL_B24,A1,2007,RW,,,,
197,,,KJ190274,R880FPL_C12,A1,2007,RW,,,,
198,,,KJ948658,TV096,A1,2000,ZA,,,,
199,,,KP109490,DEMA109UG017,A1,2009,UG,,,,
200,,,KP109528,DEMA07RW002,A1,2007,RW,,,,
201,,,KP223729,R463FPB_d19_C13,A1,2007,RW,,,,
202,,,KP223730,R463FPB_d19_C23,A1,2007,RW,,,,
203,,,KP223731,R463FPB_d19_C26,A1,2007,RW,,,,
204,,,KP223732,R463FPB_d19_C7,A1,2007,RW,,,,
205,,,KP223733,R463FPL_d179_A21,A1,2007,RW,,,,
206,,,KP223734,R463FPL_d179_A9,A1,2007,RW,,,,
207,,,KP223735,R463FPL_d179_B11,A1,2007,RW,,,,
208,,,KP223736,R463FPL_d179_B24,A1,2007,RW,,,,
209,,,KP223737,R463FPL_d179_B28,A1,2007,RW,,,,
210,,,KP223738,R463FPL_d179_C19,A1,2007,RW,,,,
211,,,KP223739,R463FPL_d179_C22,A1,2007,RW,,,,
212,,,KP223740,R463FPL_d179_C4,A1,2007,RW,,,,
213,,,KP223741,R463FPL_d19_C25,A1,2007,RW,,,,
214,,,KP223742,R463FPL_d19_C9,A1,2007,RW,,,,
215,,,KP223743,R463FPL_d19_E17,A1,2007,RW,,,,
216,,,KP223744,R463FPL_d19_E20,A1,2007,RW,,,,
217,,,KP223745,R463FPL_d19_E31,A1,2007,RW,,,,
218,,,KP223746,R463FPL_d19_E35,A1,2007,RW,,,,
219,,,KP223747,R463FPL_d19_E42,A1,2007,RW,,,,
220,,,KP223748,R463FPL_d19_E43,A1,2007,RW,,,,
221,,,KP223749,R463FPL_d19_E44,A1,2007,RW,,,,
222,,,KP223750,R463FPL_d19_E58,A1,2007,RW,,,,
223,,,KP223751,R463FPL_d248_C1,A1,2007,RW,,,,
224,,,KP223752,R463FPL_d248_C10,A1,2007,RW,,,,
225,,,KP223753,R463FPL_d248_C11,A1,2007,RW,,,,
226,,,KP223754,R463FPL_d248_C18,A1,2007,RW,,,,
227,,,KP223755,R463FPL_d248_C5,A1,2007,RW,,,,
228,,,KP223756,R463FPL_d248_D10,A1,2007,RW,,,,
229,,,KP223757,R463FPL_d248_D20,A1,2007,RW,,,,
230,,,KP223758,R463FPL_d248_D5,A1,2007,RW,,,,
231,,,KP223759,R463FPL_d333_A9,A1,2008,RW,,,,
232,,,KP223760,R463FPL_d333_B16,A1,2008,RW,,,,
233,,,KP223761,R463FPL_d333_B2,A1,2008,RW,,,,
234,,,KP223762,R463FPL_d333_B29,A1,2008,RW,,,,
235,,,KP223763,R463FPL_d333_B30,A1,2008,RW,,,,
236,,,KP223765,R463FPL_d333_B4,A1,2008,RW,,,,
237,,,KP223766,R463FPL_d333_B60,A1,2008,RW,,,,
238,,,KP223767,R463FPL_d333_B8,A1,2008,RW,,,,
239,,,KP223768,R463FPL_d60_A10,A1,2007,RW,,,,
240,,,KP223769,R463FPL_d60_A15,A1,2007,RW,,,,
241,,,KP223770,R463FPL_d60_A28,A1,2007,RW,,,,
242,,,KP223771,R463FPL_d60_A3,A1,2007,RW,,,,
243,,,KP223772,R463FPL_d60_A31,A1,2007,RW,,,,
244,,,KP223773,R463FPL_d60_A32,A1,2007,RW,,,,
245,,,KP223774,R463FPL_d60_B10,A1,2007,RW,,,,
246,,,KP223775,R463FPL_d60_B30,A1,2007,RW,,,,
247,,,KP223776,R463MPL_A11,A1,2007,RW,,,,
248,,,KP223777,R463MPL_C1,A1,2007,RW,,,,
249,,,KP223778,R463MPL_D6,A1,2007,RW,,,,
250,,,KP223779,R463MPL_I17,A1,2007,RW,,,,
251,,,KP223780,R463MPL_I25,A1,2007,RW,,,,
252,,,KP223781,R463MPL_I32,A1,2007,RW,,,,
253,,,KP223797,R880FPL_d157_A12,A1,2007,RW,,,,
254,,,KP223799,R880FPL_d157_B8,A1,2007,RW,,,,
255,,,KP223815,R880FPL_d241_A23,A1,2007,RW,,,,
256,,,KP223835,R880FPL_d73_A23,A1,2007,RW,,,,
257,,,KP223836,R880FPL_d73_A24,A1,2007,RW,,,,
258,,,KP223837,R880FPL_d73_A3,A1,2007,RW,,,,
259,,,KP223838,R880FPL_d73_A9,A1,2007,RW,,,,
260,,,KP223839,R880FPL_d73_B1,A1,2007,RW,,,,
261,,,KP223840,R880FPL_d73_B12,A1,2007,RW,,,,
262,,,KP223841,R880FPL_d73_B18,A1,2007,RW,,,,
263,,,KP223842,R880FPL_d73_B31,A1,2007,RW,,,,
264,,,KP223843,R880FPL_d73_B4,A1,2007,RW,,,,
265,,,KP223844,R880_MPL_C11,A1,2007,RW,,,,
266,,,KP223845,R880_MPL_D2,A1,2007,RW,,,,
267,,,KP223846,R880_MPL_E17,A1,2007,RW,,,,
268,,,KP223847,R880_MPL_F5,A1,2007,RW,,,,
269,,,KP223848,R880_MPL_F53,A1,2007,RW,,,,
270,,,KP223849,R880_MPL_F59,A1,2007,RW,,,,
271,,,KP223850,R880_MPL_F62,A1,2007,RW,,,,
272,,,KP223851,R880_MPL_G33,A1,2007,RW,,,,
273,,,KP223852,R880_MPL_G58,A1,2007,RW,,,,
274,,,KP223853,R880_MPL_G59,A1,2007,RW,,,,
275,,,KP223854,R880_MPL_H29,A1,2007,RW,,,,
276,,,KP718918,46-10,A1,2007,CM,,,,
277,,,KP718928,886-24,A1,2008,CM,,,,
278,,,KT022360,04KE169579V3,A1,2004,KE,,,,
279,,,KT022361,04KE263806V2,A1,2004,KE,,,,
280,,,KT022363,04KE354207V3,A1,2004,KE,,,,
281,,,KT022364,04KE378531V2,A1,2004,KE,,,,
282,,,KT022365,04KE406723V2,A1,2004,KE,,,,
283,,,KT022367,04KE649309V2,A1,2004,KE,,,,
284,,,KT022368,04KE809842V2,A1,2004,KE,,,,
285,,,KT022369,04KE860822V3,A1,2004,KE,,,,
286,,,KT022370,05KE185405V4,A1,2005,KE,,,,
287,,,KT022372,05KE376579V4,A1,2005,KE,,,,
288,,,KT022373,05KE520997V4,A1,2005,KE,,,,
289,,,KT022374,05KE607907V4,A1,2005,KE,,,,
290,,,KT022375,05KE643439V4,A1,2005,KE,,,,
291,,,KT022376,05KE851891V4,A1,2005,KE,,,,
292,,,KT022377,05KE884468V5,A1,2005,KE,,,,
293,,,KT022378,06KE196199V6,A1,2006,KE,,,,
294,,,KT022380,06KE335214V6,A1,2006,KE,,,,
295,,,KT022381,06KE404877V7,A1,2006,KE,,,,
296,,,KT022382,06KE452693V6,A1,2006,KE,,,,
297,,,KT022383,06KE661996V6,A1,2006,KE,,,,
298,,,KT022384,06KE795643V7,A1,2006,KE,,,,
299,,,KT152839,NARI-FLS_IVC19-1,A1,2009,IN,,,,
300,,,KT152840,NARI-FLS_VB6,A1,1997,IN,,,,
301,,,KT152841,NARI-FLS_VB11,A1,1999,IN,,,,
302,,,KT152842,NARI-FLS_VB15,A1,1999,IN,,,,
303,,,KT152843,NARI-FLS_VB81-4,A1,1999,IN,,,,
304,,,KT152844,NARI-FLS_VB81-12,A1,1999,IN,,,,
305,,,KT152845,NARI-FLS_VB81-13,A1,1999,IN,,,,
306,,,KT152846,NARI-FLS_VB99-30,A1,2000,IN,,,,
307,,,KT152847,NARI-FLS_VB99-35,A1,2000,IN,,,,
308,,,KT183312,503_15344_T10_A1,A1,2004,ZA,,,,
309,,,KT183313,503_15344_T23b_A1,A1,2004,ZA,,,,
310,,,KT183314,503_15344_T33_A1,A1,2004,ZA,,,,
311,,,KT183315,503_15344_T38_A1,A1,2004,ZA,,,,
312,,,KT183316,503_15344_T3_A1,A1,2004,ZA,,,,
313,,,KT983615,PV85,A6,2013,BY,,,,
314,,,KU168256,LA01AlPr,A1,2002,CD,,,,
315,,,KU168305,CM54-7,A1,2003,CM,,,,
316,,,KU749399,DEMA111UA002,A6,2011,UA,,,,
317,,,KU749400,DEMA111UA008,A6,2011,UA,,,,
318,,,KU749401,DEMA111UA009,A6,2011,UA,,,,
319,,,KU749403,DEMA112UA024,A6,2012,UA,,,,
320,,,KU749404,DEMA112UA030,A6,2012,UA,,,,
321,,,KU749405,DEMA112UA034,A6,2012,UA,,,,
322,,,KU749407,DEMA112UA042,A6,2012,UA,,,,
323,,,KU749409,DEMA114PK001,A1,2014,PK,,,,
324,,,KU749410,DEMA114PK002,A1,2014,PK,,,,
325,,,KU749411,DEMA114PK013,A1,2014,PK,,,,
326,,,KU749423,DEMA106RW003,A1,2006,RW,,,,
327,,,KU749424,DEMA108RW010,A1,2008,RW,,,,
328,,,KX228810,Read30_HIV_A1,A1,2010,UG,,,,
329,,,KX228815,Read35_HIV_A1,A1,2005,TZ,,,,
330,,,KX232594,PK001,A1,2014,PK,,,,
331,,,KX232595,PK002,A1,2014,PK,,,,
332,,,KX232597,PK004,A1,2014,PK,,,,
333,,,KX232600,PK007,A1,2014,PK,,,,
334,,,KX232606,PK013,A1,2014,PK,,,,
335,,,KX232607,PK014,A1,2014,PK,,,,
336,,,KX232609,PK016,A1,2014,PK,,,,
337,,,KX232610,PK017,A1,2014,PK,,,,
338,,,KX232611,PK018,A1,2014,PK,,,,
339,,,KX232613,PK020,A1,2014,PK,,,,
340,,,KX232614,PK021,A1,2015,PK,,,,
341,,,KX232618,PK026,A1,2015,PK,,,,
342,,,KX232619,PK027,A1,2014,PK,,,,
343,,,KX232620,PK030,A1,2015,PK,,,,
344,,,KX232621,PK031,A1,2015,PK,,,,
345,,,KX232624,PK034,A1,2015,PK,,,,
346,,,KX232626,PK036,A1,2015,PK,,,,
347,,,KX389622,09NG010499,A,2009,NG,,,,
348,,,KX907336,CO0272V4,A1,2004,TZ,,,,
349,,,KX907341,CO0260V5,A1,2005,TZ,,,,
350,,,KX907343,CO0330V4,A1,2004,TZ,,,,
351,,,KX907346,CO0434V7,A1,2006,TZ,,,,
352,,,KX907347,CO0439V5,A1,2005,TZ,,,,
353,,,KX907348,CO0543V2,A1,2003,TZ,,,,
354,,,KX907352,CO0783V0,A1,2002,TZ,,,,
355,,,KX907364,CO3083V4,A1,2005,TZ,,,,
356,,,KX907372,CO3365V2,A1,2004,TZ,,,,
357,,,KX907378,CO3504V7,A1,2006,TZ,,,,
358,,,KX907383,CO3718V3,A1,2004,TZ,,,,
359,,,KX907389,CO3878V2,A1,2004,TZ,,,,
360,,,KX907401,CO6161V5,A1,2005,TZ,,,,
361,,,KX907412,CO6592V5,A1,2005,TZ,,,,
362,,,KX907414,CO6637V7,A1,2006,TZ,,,,
363,,,KX907423,CO6830V7,A1,2006,TZ,,,,
364,,,KX907431,CO6974V7,A1,2006,TZ,,,,
365,,,KY238326,MSK_SK_006-1,A6,2008,RU,,,,
366,,,KY238327,MSK_SK_006-2,A6,2008,RU,,,,
367,,,KY496622,100_117,A1,2015,ES,,,,
368,,,KY658681,DEMA112UA013,A6,2012,UA,,,,
369,,,KY658682,DEMA112UA040,A6,2012,UA,,,,
370,,,KY658694,DEMA108TZ002,A1,2008,TZ,,,,
371,,,KY658695,DEMA108TZ004,A1,2008,TZ,,,,
372,,,KY658696,DEMA108TZ012,A1,2008,TZ,,,,
373,,,KY658714,DEMA114PK027,A1,2014,PK,,,,
374,,,KY658715,DEMA115PK030,A1,2015,PK,,,,
375,,,KY658716,DEMA115PK031,A1,2015,PK,,,,
376,,,M62320,U455_U455A,A1,1985,UG,,,,
383,,,MF373124,001UG,A1,1993,SE,,,,
384,,,MF373167,064GR,A1,2012,SE,,,,
385,,,MF373168,065SE,A1,2012,SE,,,,
386,,,MF373181,078SE,A1,2013,SE,,,,
387,,,MF373182,079KE,A1,2013,SE,,,,
388,,,MG902950,ARH001,A6,2013,RU,,,,
389,,,MG902951,ARH011,A6,2013,RU,,,,
390,,,MH330337,ARH028,A6,2013,RU,,,,
391,,,MH330338,ARH029,A6,2013,RU,,,,
392,,,MH330339,ARH033,A6,2013,RU,,,,
393,,,MH330340,ARH036,A6,2013,RU,,,,
394,,,MH330341,ARH042,A6,2013,RU,,,,
395,,,MH330342,ARH047,A6,2013,RU,,,,
396,,,MH330343,ARH048,A6,2013,RU,,,,
397,,,MH330344,ARH061,A6,2013,RU,,,,
398,,,MH330345,ARH066,A6,2013,RU,,,,
399,,,MH330346,ARH068,A6,2013,RU,,,,
400,,,MH330347,BLG015,A6,2012,RU,,,,
401,,,MH330348,BLG032,A6,2012,RU,,,,
402,,,MH330349,BLG033,A6,2012,RU,,,,
403,,,MH330350,BLG035,A6,2012,RU,,,,
404,,,MH330351,BLG038,A6,2012,RU,,,,
405,,,MH330352,BLG041,A6,2012,RU,,,,
406,,,MH330353,BLG043,A6,2012,RU,,,,
407,,,MH330354,BLG044,A6,2012,RU,,,,
408,,,MH330355,BLG045,A6,2012,RU,,,,
409,,,MH330356,BLG051,A6,2012,RU,,,,
410,,,MH330357,IRK007,A6,-,RU,,,,
411,,,MH330358,IRK014,A6,2012,RU,,,,
412,,,MH330359,IRK025,A6,2012,RU,,,,
413,,,MH330361,IRK028,A6,2012,RU,,,,
414,,,MH330363,IRK030,A6,2012,RU,,,,
415,,,MH330364,IRK031,A6,2012,RU,,,,
416,,,MH330365,IRK035,A6,2012,RU,,,,
417,,,MH330367,IRK039,A6,2012,RU,,,,
418,,,MH330370,MRK030,A6,2013,RU,,,,
419,,,MH330371,MRK054,A6,2013,RU,,,,
420,,,MH330372,MRK056,A6,2013,RU,,,,
421,,,MH330373,MRK063,A6,2013,RU,,,,
422,,,MH330374,MRK067,A6,2013,RU,,,,
423,,,MH330375,MRK068,A6,2013,RU,,,,
424,,,MH330376,MRK075,A6,2013,RU,,,,
425,,,MH330377,MRK078,A6,2013,RU,,,,
426,,,MH330378,MRK079,A6,2013,RU,,,,
427,,,MH330379,MRK086,A6,2014,RU,,,,
428,,,MH330380,MRK087,A6,2014,RU,,,,
429,,,MH330381,MRK097,A6,2014,RU,,,,
430,,,MH705133,PBS888,A,1987,CD,,,,
431,,,MH705151,70641,A,1987,CD,,,,
432,,,MH705153,PBS6126,A,1987,CD,,,,
433,,,MH705157,P4039,A,1987,CD,,,,
434,,,MH705158,2106,A,1987,CD,,,,
435,,,MH705163,PBS1195,A2,1987,CD,,,,
436,,,MH746253,V_09_017,A1,2009,BG,,,,
437,,,MH746258,V_09_008,A1,2009,BG,,,,
438,,,MH746259,V_09_007,A1,2009,BG,,,,
439,,,MK177829,P4496,A1,2016,ES,,,,
440,,,U51190,92UG037,A1,1992,UG,,,,
