sequenceID	accession_version	collection_month	collection_month_day	collection_year	country	country_iso	isolate_id	lab_construct	length	place_sampled	primary_accession	pubmed_id	source.name	subtype	create_date	update_date	format
AB098332	AB098332.1	-	-	-	Uganda	UGA	UG029	-	9629	-	AB098332	-	ncbi-curated	-	19-Jun-2003	25-Jul-2016	GENBANK_XML
AB098333	AB098333.1	-	-	-	Uganda	UGA	UG029	-	9635	-	AB098333	-	ncbi-curated	-	19-Jun-2003	25-Jul-2016	GENBANK_XML
AB220944	AB220944.1	-	-	-	Thailand	THA	93TH051	-	9652	-	AB220944	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB220945	AB220945.1	-	-	-	Thailand	THA	93TH054	-	9640	-	AB220945	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB220946	AB220946.1	-	-	-	Thailand	THA	93TH060	-	9617	-	AB220946	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB220947	AB220947.1	-	-	-	Thailand	THA	93TH062	-	9634	-	AB220947	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB220948	AB220948.1	-	-	-	Thailand	THA	93TH065	-	9630	-	AB220948	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB221005	AB221005.1	-	-	-	-	-	-	-	9584	-	AB221005	-	ncbi-curated	-	01-Apr-2006	26-Jul-2016	GENBANK_XML
AB221125	AB221125.1	-	-	-	Japan	JPN	04JPDR6075B	-	9664	-	AB221125	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB221126	AB221126.1	-	-	-	Japan	JPN	04JPDR6075B	-	9664	-	AB221126	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231893	AB231893.1	-	-	-	Ghana:Accura	GHA	GHNJ175	-	9724	Accura	AB231893	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231894	AB231894.1	-	-	-	Ghana:Accura	GHA	GHNJ176	-	9677	Accura	AB231894	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231895	AB231895.1	-	-	-	Ghana:Accura	GHA	GHNJ185	-	9715	Accura	AB231895	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231896	AB231896.1	-	-	-	Ghana:Accura	GHA	GHNJ188	-	9753	Accura	AB231896	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231897	AB231897.1	-	-	-	Ghana:Accura	GHA	GHNJ193	-	9712	Accura	AB231897	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB231898	AB231898.1	-	-	-	Ghana:Accura	GHA	GHNJ196	-	9758	Accura	AB231898	-	ncbi-curated	-	13-Jun-2006	14-Jul-2016	GENBANK_XML
AB253421	AB253421.1	-	-	-	Rwanda	RWA	92RW008	-	9643	-	AB253421	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253422	AB253422.1	-	-	-	Rwanda	RWA	92RW008	-	9636	-	AB253422	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253423	AB253423.1	-	-	-	Japan	JPN	DR0492	-	9670	-	AB253423	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253424	AB253424.1	-	-	-	Thailand	THA	93TH057	-	9642	-	AB253424	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253425	AB253425.1	-	-	-	Thailand	THA	93TH057	-	9642	-	AB253425	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253426	AB253426.1	-	-	-	Japan	JPN	DR6824	-	9661	-	AB253426	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253427	AB253427.1	-	-	-	Japan	JPN	DR6824	-	9661	-	AB253427	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253428	AB253428.1	-	-	-	Uganda	UGA	92UG037	-	9687	-	AB253428	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253429	AB253429.1	-	-	-	Uganda	UGA	92UG037	-	9690	-	AB253429	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253430	AB253430.1	-	-	-	Japan	JPN	DR0769	-	9677	-	AB253430	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253431	AB253431.1	-	-	-	Japan	JPN	DR0769	-	9656	-	AB253431	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253432	AB253432.1	-	-	-	USA	USA	Ba-L	-	9584	-	AB253432	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253635	AB253635.1	-	-	-	Japan	JPN	DR1741	-	9669	-	AB253635	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253636	AB253636.1	-	-	-	Japan	JPN	DR1741	-	9668	-	AB253636	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253637	AB253637.1	-	-	-	Japan	JPN	DR1741	-	9663	-	AB253637	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253638	AB253638.1	-	-	-	Japan	JPN	DR1741	-	9702	-	AB253638	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253639	AB253639.1	-	-	-	Japan	JPN	DR1741	-	9669	-	AB253639	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253640	AB253640.1	-	-	-	Japan	JPN	DR1741	-	9662	-	AB253640	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253641	AB253641.1	-	-	-	Japan	JPN	DR1741	-	9670	-	AB253641	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253642	AB253642.1	-	-	-	Japan	JPN	DR1741	-	9663	-	AB253642	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253643	AB253643.1	-	-	-	Japan	JPN	DR1741	-	9669	-	AB253643	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253644	AB253644.1	-	-	-	Japan	JPN	DR1741	-	9703	-	AB253644	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253645	AB253645.1	-	-	-	Japan	JPN	DR1741	-	9670	-	AB253645	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253646	AB253646.1	-	-	-	Japan	JPN	DR1741	-	9662	-	AB253646	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253647	AB253647.1	-	-	-	Japan	JPN	DR1873	-	9664	-	AB253647	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253648	AB253648.1	-	-	-	Japan	JPN	DR1873	-	9664	-	AB253648	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253649	AB253649.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253649	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253650	AB253650.1	-	-	-	Japan	JPN	DR1873	-	9660	-	AB253650	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253651	AB253651.1	-	-	-	Japan	JPN	DR1873	-	9664	-	AB253651	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253652	AB253652.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253652	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253653	AB253653.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253653	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253654	AB253654.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253654	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253655	AB253655.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253655	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253656	AB253656.1	-	-	-	Japan	JPN	DR1873	-	9663	-	AB253656	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253657	AB253657.1	-	-	-	Japan	JPN	DR1873	-	9664	-	AB253657	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253658	AB253658.1	-	-	-	Japan	JPN	DR1873	-	9664	-	AB253658	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253659	AB253659.1	-	-	-	Japan	JPN	DR2594	-	9701	-	AB253659	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253660	AB253660.1	-	-	-	Japan	JPN	DR2594	-	9702	-	AB253660	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253661	AB253661.1	-	-	-	Japan	JPN	DR2594	-	9702	-	AB253661	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253662	AB253662.1	-	-	-	Japan	JPN	DR2594	-	9696	-	AB253662	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253663	AB253663.1	-	-	-	Japan	JPN	DR2594	-	9696	-	AB253663	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253664	AB253664.1	-	-	-	Japan	JPN	DR2594	-	9693	-	AB253664	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253665	AB253665.1	-	-	-	Japan	JPN	DR2594	-	9696	-	AB253665	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253666	AB253666.1	-	-	-	Japan	JPN	DR2594	-	9702	-	AB253666	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253667	AB253667.1	-	-	-	Japan	JPN	DR2594	-	9702	-	AB253667	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253668	AB253668.1	-	-	-	Japan	JPN	DR2594	-	9702	-	AB253668	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253669	AB253669.1	-	-	-	Japan	JPN	DR3730	-	9654	-	AB253669	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253670	AB253670.1	-	-	-	Japan	JPN	DR3730	-	9627	-	AB253670	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253671	AB253671.1	-	-	-	Japan	JPN	DR3730	-	9654	-	AB253671	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253672	AB253672.1	-	-	-	Japan	JPN	DR3730	-	9654	-	AB253672	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253673	AB253673.1	-	-	-	Japan	JPN	DR3730	-	9653	-	AB253673	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253674	AB253674.1	-	-	-	Japan	JPN	DR3730	-	9653	-	AB253674	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253675	AB253675.1	-	-	-	Japan	JPN	DR3730	-	9653	-	AB253675	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253676	AB253676.1	-	-	-	Japan	JPN	DR3730	-	9627	-	AB253676	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253677	AB253677.1	-	-	-	Japan	JPN	DR3730	-	9653	-	AB253677	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253678	AB253678.1	-	-	-	Japan	JPN	DR3730	-	9653	-	AB253678	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253679	AB253679.1	-	-	-	Japan	JPN	DR3730	-	9654	-	AB253679	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253680	AB253680.1	-	-	-	Japan	JPN	DR3730	-	9654	-	AB253680	-	ncbi-curated	-	20-Sep-2006	14-Jul-2016	GENBANK_XML
AB253681	AB253681.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253681	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253682	AB253682.1	-	-	-	Japan	JPN	DR0492	-	9670	-	AB253682	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253683	AB253683.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253683	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253684	AB253684.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253684	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253685	AB253685.1	-	-	-	Japan	JPN	DR0492	-	9670	-	AB253685	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253686	AB253686.1	-	-	-	Japan	JPN	DR0492	-	9669	-	AB253686	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253687	AB253687.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253687	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253688	AB253688.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253688	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253689	AB253689.1	-	-	-	Japan	JPN	DR0492	-	9670	-	AB253689	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253690	AB253690.1	-	-	-	Japan	JPN	DR0492	-	9670	-	AB253690	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253691	AB253691.1	-	-	-	Japan	JPN	DR0492	-	9667	-	AB253691	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253692	AB253692.1	-	-	-	Japan	JPN	DR1236	-	9673	-	AB253692	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253693	AB253693.1	-	-	-	Japan	JPN	DR1236	-	9665	-	AB253693	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253694	AB253694.1	-	-	-	Japan	JPN	DR1236	-	9678	-	AB253694	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253695	AB253695.1	-	-	-	Japan	JPN	DR1236	-	9671	-	AB253695	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253696	AB253696.1	-	-	-	Japan	JPN	DR1236	-	9673	-	AB253696	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253697	AB253697.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253697	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253698	AB253698.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253698	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253699	AB253699.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253699	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253700	AB253700.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253700	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253701	AB253701.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253701	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253702	AB253702.1	-	-	-	Japan	JPN	DR1236	-	9667	-	AB253702	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253703	AB253703.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253703	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253704	AB253704.1	-	-	-	Japan	JPN	DR2192	-	10340	-	AB253704	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253705	AB253705.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253705	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253706	AB253706.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253706	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253707	AB253707.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253707	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253708	AB253708.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253708	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253709	AB253709.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253709	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253710	AB253710.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253710	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253711	AB253711.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253711	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253712	AB253712.1	-	-	-	Japan	JPN	DR2192	-	10340	-	AB253712	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253713	AB253713.1	-	-	-	Japan	JPN	DR2192	-	9675	-	AB253713	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253714	AB253714.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253714	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253715	AB253715.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253715	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253716	AB253716.1	-	-	-	Japan	JPN	DR2192	-	9674	-	AB253716	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253717	AB253717.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253717	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253718	AB253718.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253718	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253719	AB253719.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253719	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253720	AB253720.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253720	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253721	AB253721.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253721	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253722	AB253722.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253722	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253723	AB253723.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253723	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253724	AB253724.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253724	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB253725	AB253725.1	-	-	-	Japan	JPN	DR5032	-	9662	-	AB253725	-	ncbi-curated	-	15-Sep-2006	14-Jul-2016	GENBANK_XML
AB254141	AB254141.1	-	-	-	Zambia:Lusaka	USA	02ZM108	-	9696	Lusaka	AB254141	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254142	AB254142.1	-	-	-	Zambia:Lusaka	USA	02ZM110	-	9790	Lusaka	AB254142	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254143	AB254143.1	-	-	-	Zambia:Lusaka	USA	02ZM112	-	9636	Lusaka	AB254143	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254144	AB254144.1	-	-	-	Zambia:Lusaka	USA	02ZM112	-	9637	Lusaka	AB254144	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254145	AB254145.1	-	-	-	Zambia:Lusaka	USA	02ZM112	-	9638	Lusaka	AB254145	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254146	AB254146.1	-	-	-	Zambia:Lusaka	USA	02ZM114	-	9721	Lusaka	AB254146	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254147	AB254147.1	-	-	-	Zambia:Lusaka	USA	02ZM114	-	9709	Lusaka	AB254147	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254148	AB254148.1	-	-	-	Zambia:Lusaka	USA	02ZM115	-	9630	Lusaka	AB254148	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254149	AB254149.1	-	-	-	Zambia:Lusaka	USA	02ZMBC	-	9730	Lusaka	AB254149	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254150	AB254150.1	-	-	-	Zambia:Lusaka	USA	02ZMDB	-	9723	Lusaka	AB254150	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254151	AB254151.1	-	-	-	Zambia:Lusaka	USA	02ZMDB	-	9702	Lusaka	AB254151	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254152	AB254152.1	-	-	-	Zambia:Lusaka	USA	02ZMDB	-	9637	Lusaka	AB254152	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254153	AB254153.2	-	-	-	Zambia:Lusaka	USA	02ZMDB	-	9723	Lusaka	AB254153	-	ncbi-curated	-	26-Sep-2006	03-Nov-2011	GENBANK_XML
AB254154	AB254154.1	-	-	-	Zambia:Lusaka	USA	02ZMDB	-	9722	Lusaka	AB254154	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254155	AB254155.1	-	-	-	Zambia:Lusaka	USA	02ZMJC	-	9674	Lusaka	AB254155	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB254156	AB254156.1	-	-	-	Zambia:Lusaka	USA	02ZMJM	-	9674	Lusaka	AB254156	-	ncbi-curated	-	26-Sep-2006	14-Jul-2016	GENBANK_XML
AB286849	AB286849.1	MAR	26	2004	Japan	JPN	04JPDR5782C	-	9697	-	AB286849	-	ncbi-curated	-	16-Dec-2006	14-Jul-2016	GENBANK_XML
AB286850	AB286850.1	MAR	26	2004	Japan	JPN	04JPDR5782C	-	9696	-	AB286850	-	ncbi-curated	-	16-Dec-2006	14-Jul-2016	GENBANK_XML
AB286851	AB286851.1	JUL	28	2003	Ghana	GHA	03GH173_06	-	9793	-	AB286851	-	ncbi-curated	-	16-Dec-2006	14-Jul-2016	GENBANK_XML
AB286852	AB286852.1	JUL	28	2003	Ghana	GHA	03GH173_06	-	9793	-	AB286852	-	ncbi-curated	-	16-Dec-2006	14-Jul-2016	GENBANK_XML
