"sequence_id","isolate_id","collection_year"
"KC156250",703010269,2008
"KC156251",703010269,2008
"KC156252",703010269,2008
"KC156253",703010269,2008
"KC156254",703010269,2008
"KC156255",703010269,2008
"KC156256",703010269,2008
"KC156257",703010269,2008
"KC156258",703010269,2008
"KC156259",703010269,2008
"KC156260",703010269,2008
"KC156261",703010269,2008
"KC156262",703010269,2008
"KC156263",703010269,2008
"KC156264",703010269,2008
"KC156265",703010269,2008
"KC156266",703010269,2008
"KC156267",703010269,2008
"KC156268",703010269,2008
"JX972838",704010042,2007
"JX972839",704010042,2007
"JX972840",704010042,2007
"JX972841",704010042,2007
"JX972842",704010042,2007
"JX972843",704010042,2007
"JX972844",704010042,2007
"JX972845",704010042,2007
"JX973846",704010042,2007
"JX973847",704010042,2007
"JX973848",704010042,2007
"JX973849",704010042,2007
"JX973850",704010042,2007
"JX973851",704010042,2007
"JX973852",704010042,2007
"JX973853",704010042,2007
"JX973854",704010042,2007
"JX972931",705010067,2007
"JX972932",705010067,2007
"JX972933",705010067,2007
"JX972934",705010067,2007
"JX972935",705010067,2007
"JX972936",705010067,2007
"JX972937",705010067,2007
"JX972938",705010067,2007
"JX972939",705010067,2007
"JX972940",705010067,2007
"JX972941",705010067,2007
"JX972942",705010067,2007
"JX972943",705010067,2007
"JX972944",705010067,2007
"JX972945",705010067,2007
"JX972946",705010067,2007
"JX972947",705010067,2007
"JX972948",705010067,2007
"JX972949",705010067,2007
"JX972950",705010067,2007
"JX972951",705010067,2007
"JX972952",705010067,2007
"JX972953",705010067,2007
"JX972954",705010067,2007
"JX972955",705010067,2007
"JX972956",705010067,2007
"JX972957",705010067,2007
"JX972958",705010067,2007
"JX972959",705010067,2007
"JX972960",705010067,2007
"JX972961",705010067,2007
"JX972962",705010067,2007
"JX972963",705010067,2007
"JX972964",705010067,2007
"JX973930",705010067,2007
"JX973931",705010067,2007
"JX973932",705010067,2007
"JX973933",705010067,2007
"JX973934",705010067,2007
"JX973935",705010067,2007
"JX973936",705010067,2007
"JX973937",705010067,2007
"JX973938",705010067,2007
"JX972986",705010162,2007
"JX972987",705010162,2007
"JX972988",705010162,2007
"JX972989",705010162,2007
"JX972990",705010162,2007
"JX972991",705010162,2007
"JX972992",705010162,2007
"JX972993",705010162,2007
"JX972994",705010162,2007
"JX972995",705010162,2007
"JX972996",705010162,2007
"JX972997",705010162,2007
"JX972998",705010162,2007
"JX973955",705010162,2007
"JX973956",705010162,2007
"JX973957",705010162,2007
"JX973958",705010162,2007
"JX973959",705010162,2007
"JX973960",705010162,2007
"JX973961",705010162,2007
"JX973962",705010162,2007
"JX973963",705010162,2007
"JX973964",705010162,2007
"JX973965",705010162,2007
"JX973966",705010162,2007
"JX973967",705010162,2007
"JX973968",705010162,2007
"JX973969",705010162,2007
"JX973075",705010185,2007
"JX973076",705010185,2007
"JX973077",705010185,2007
"JX973078",705010185,2007
"JX973079",705010185,2007
"JX973080",705010185,2007
"JX973081",705010185,2007
"JX973082",705010185,2007
"JX973083",705010185,2007
"JX973084",705010185,2007
"JX973085",705010185,2007
"JX973086",705010185,2007
"JX973087",705010185,2007
"JX973088",705010185,2007
"JX973089",705010185,2007
"JX973090",705010185,2007
"JX973091",705010185,2007
"JX973092",705010185,2007
"JX973093",705010185,2007
"JX973094",705010185,2007
"JX973095",705010185,2007
"JX973096",705010185,2007
"JX973097",705010185,2007
"JX973098",705010185,2007
"JX973099",705010185,2007
"JX973100",705010185,2007
"JX973101",705010185,2007
"JX974014",705010185,2007
"JX974015",705010185,2007
"JX974016",705010185,2007
"JX974017",705010185,2007
"JX974018",705010185,2007
"JX974019",705010185,2007
"JX974020",705010185,2007
"JX974021",705010185,2007
"JX974022",705010185,2007
"JX974023",705010185,2007
"JX973171",705010198,2007
"JX973172",705010198,2007
"JX973173",705010198,2007
"JX973174",705010198,2007
"JX973175",705010198,2007
"JX973176",705010198,2007
"JX973177",705010198,2007
"JX973178",705010198,2007
"JX973179",705010198,2007
"JX973180",705010198,2007
"JX974082",705010198,2007
"JX974083",705010198,2007
"JX974084",705010198,2007
"JX974085",705010198,2007
"JX974086",705010198,2007
"JX974087",705010198,2007
"JX974088",705010198,2007
"JX974089",705010198,2007
"JX974090",705010198,2007
"JX974091",705010198,2007
"JX974092",705010198,2007
"JX974093",705010198,2007
"JX974094",705010198,2007
"JX973234",706010164,2007
"JX973235",706010164,2007
"JX973236",706010164,2007
"JX973237",706010164,2007
"JX973238",706010164,2007
"JX973239",706010164,2007
"JX973240",706010164,2007
"JX973241",706010164,2007
"JX973242",706010164,2007
"JX973243",706010164,2007
"JX973244",706010164,2007
"JX973245",706010164,2007
"JX973246",706010164,2007
"JX973247",706010164,2007
"JX973248",706010164,2007
"JX973249",706010164,2007
"JX973250",706010164,2007
"JX973251",706010164,2007
"JX973252",706010164,2007
"JX973253",706010164,2007
"JX973254",706010164,2007
"JX973255",706010164,2007
"JX973256",706010164,2007
"JX973257",706010164,2007
"JX973258",706010164,2007
"JX973259",706010164,2007
"JX973260",706010164,2007
"JX973261",706010164,2007
"JX973262",706010164,2007
"JX973263",706010164,2007
"JX973264",706010164,2007
"JX973265",706010164,2007
"JX973266",706010164,2007
"JX973267",706010164,2007
"JX973268",706010164,2007
"JX973269",706010164,2007
"JX973270",706010164,2007
"JX974138",706010164,2007
"JX974139",706010164,2007
"JX974140",706010164,2007
"JX974141",706010164,2007
"JX974142",706010164,2007
"JX974143",706010164,2007
"JX974144",706010164,2007
"JX974145",706010164,2007
"JX974146",706010164,2007
"JX974147",706010164,2007
"JX974148",706010164,2007
"JX974149",706010164,2007
"JX974150",706010164,2007
"JX974151",706010164,2007
"JX974152",706010164,2007
"JX974153",706010164,2007
"JX974154",706010164,2007
"JX974155",706010164,2007
"JX974156",706010164,2007
"JX974157",706010164,2007
"JX974158",706010164,2007
"JX974159",706010164,2007
"JX974160",706010164,2007
"JX974161",706010164,2007
"JX974162",706010164,2007
"JX974163",706010164,2007
"JX974164",706010164,2007
"KY112190","CH040",2006
"KY112191","CH040",2006
"KY112192","CH040",2006
"KY112193","CH040",2006
"KY112194","CH040",2006
"KY112195","CH040",2006
"KY112196","CH040",2006
"KY111987","CH1064",2009
"KY111988","CH1064",2009
"KY111989","CH1064",2009
"KY111990","CH1064",2009
"KY111991","CH1064",2009
"KY111992","CH1064",2009
"KY111993","CH1064",2009
"KY111994","CH1064",2009
"KY111995","CH1064",2009
"KY111996","CH1064",2009
"KY111997","CH1064",2009
"KY111998","CH1064",2009
"KY111999","CH1064",2009
"KY112000","CH1064",2009
"KY112001","CH1064",2009
"KY112002","CH1064",2009
"KY112003","CH1064",2009
"KY112004","CH1064",2009
"KY112005","CH1064",2009
"KY112006","CH1064",2009
"KY112007","CH1064",2009
"KY112008","CH1064",2009
"KY112009","CH1064",2009
"KY112010","CH1064",2009
"KY112011","CH1064",2009
"KY112012","CH1064",2009
"KY112013","CH1064",2009
"KY112014","CH1064",2009
"KY112015","CH1064_SGA.1A12",2009
"KY112016","CH1064_SGA.1A3",2009
"KY112017","CH1064_SGA.1A5",2009
"KY112018","CH1064_SGA.1B10",2009
"KY112019","CH1064_SGA.1C10",2009
"KY112020","CH1064_SGA.1C5",2009
"KY112021","CH1064_SGA.1D8",2009
"KY112022","CH1064_SGA.1E6",2009
"KY112023","CH1064_SGA.1F10",2009
"KY112024","CH1064_SGA.1F11",2009
"KY112025","CH1064_SGA.1G3",2009
"KY112026","CH1064_SGA.1H11",2009
"KY112027","CH1064_SGA.1H4",2009
"KY112028","CH1064_SGA.1H5",2009
"KY112029","CH1064_SGA.1H8",2009
"KY112030","CH1064_SGA.2A1",2009
"KY112031","CH1064_SGA.2A10",2009
"KY112032","CH1064_SGA.2A11",2009
"KY112033","CH1064_SGA.2A4",2009
"KY112034","CH1064_SGA.2A7",2009
"KY112035","CH1064_SGA.2B2",2009
"KY112036","CH1064_SGA.2B3",2009
"KY112037","CH1064_SGA.2B5",2009
"KY112038","CH1064_SGA.2B7",2009
"KY112039","CH1064_SGA.2C4",2009
"KY112040","CH1064_SGA.2C6",2009
"KY112041","CH1064_SGA.2C8",2009
"KY112042","CH1064_SGA.2D2",2009
"KY112043","CH1064_SGA.2D5",2009
"KY112044","CH1064_SGA.2E6",2009
"KY112045","CH1064_SGA.2F10",2009
"KY112046","CH1064_SGA.2F12",2009
"KY112047","CH1064_SGA.2F4",2009
"KY112048","CH1064_SGA.2F8",2009
"KY112049","CH1064_SGA.2G5",2009
"KY112050","CH1064_SGA.2G7",2009
"KY112051","CH1064_SGA.2G8",2009
"KY112052","CH1064_SGA.2H10",2009
"KY112053","CH1064_SGA.2H11",2009
"KY112054","CH1064_SGA.2H6",2009
"KY112055","CH1064_SGA.2H7",2009
"KY112056","CH148",2006
"KY112057","CH148",2006
"KY112058","CH148",2006
"KY112059","CH148",2006
"KY112060","CH148",2006
"KY112061","CH148",2006
"KY112062","CH148",2006
"KY112063","CH148",2006
"KY112064","CH148",2006
"KY112065","CH148",2006
"KY112066","CH148",2006
"KY112067","CH148",2006
"KY112068","CH148",2006
"KY112069","CH148",2006
"KY112070","CH148",2006
"KY112071","CH148",2006
"KY112072","CH148",2006
"KY112073","CH148",2006
"KY112074","CH148",2006
"KY111920","CH148_SGA.5.01",2006
"KY111921","CH148_SGA.5.03",2006
"KY111922","CH148_SGA.5.04",2006
"KY111923","CH148_SGA.5.06",2006
"KY111924","CH148_SGA.5.07",2006
"KY111925","CH148_SGA.5.08",2006
"KY111926","CH148_SGA.5.10",2006
"KY111927","CH148_SGA.5.11",2006
"KY111928","CH148_SGA.5.13",2006
"KY111929","CH148_SGA.5.15",2006
"KY111930","CH148_SGA.5.16",2006
"KY111931","CH148_SGA.5.17",2006
"KY111932","CH148_SGA.5.18",2006
"KY111933","CH148_SGA.5.19",2006
"KY111934","CH148_SGA.5.20",2006
"KY111935","CH148_SGA.5.22",2006
"KY111936","CH148_SGA.5.24",2006
"KY111937","CH148_SGA.5.25",2006
"KY111938","CH148_SGA.5.26",2006
"KY111939","CH148_SGA.5.27",2006
"KY111940","CH148_SGA.5.28",2006
"KY111941","CH148_SGA.5.30",2006
"KY111942","CH148_SGA.5.31",2006
"KY111943","CH148_SGA.5.33",2006
"KY111944","CH148_SGA.5.37",2006
"KY111945","CH148_SGA.5.38",2006
"KY111946","CH148_SGA.5.40",2006
"KY112075","CH162",2007
"KY112076","CH162",2007
"KY112077","CH162",2007
"KY112078","CH162",2007
"KY112079","CH162",2007
"KY112080","CH162",2007
"KY112081","CH162",2007
"KY112082","CH212",2007
"KY112083","CH212",2007
"KY112084","CH212",2007
"KY112085","CH212",2007
"KY112086","CH212",2007
"KY112087","CH212",2007
"KY112088","CH212",2007
"KY112089","CH212",2007
"KY112090","CH212",2007
"KY112091","CH212",2007
"KY112092","CH212",2007
"KY112093","CH212",2007
"KY112094","CH212_SGA.1A9",2007
"KY112095","CH212_SGA.1B10",2007
"KY112096","CH212_SGA.1B11",2007
"KY112097","CH212_SGA.1B2",2007
"KY112098","CH212_SGA.1C6",2007
"KY112099","CH212_SGA.1D1",2007
"KY112100","CH212_SGA.1D6",2007
"KY112101","CH212_SGA.1E2",2007
"KY112102","CH212_SGA.1E3",2007
"KY112103","CH212_SGA.1E9",2007
"KY112104","CH212_SGA.1F12",2007
"KY112105","CH212_SGA.1G8",2007
"KY112106","CH212_SGA.1H5",2007
"KY112107","CH212_SGA.1H7",2007
"KY112108","CH212_SGA.1H9",2007
"KY112109","CH212_SGA.2A10",2007
"KY112110","CH212_SGA.2A11",2007
"KY112111","CH212_SGA.2B6",2007
"KY112112","CH212_SGA.2B7",2007
"KY112113","CH212_SGA.2B8",2007
"KY112114","CH212_SGA.2D1",2007
"KY112115","CH212_SGA.2D5",2007
"KY112116","CH212_SGA.2D6",2007
"KY112117","CH212_SGA.2D8",2007
"KY112118","CH212_SGA.2E10",2007
"KY112119","CH212_SGA.2F10",2007
"KY112120","CH212_SGA.2F11",2007
"KY112121","CH212_SGA.2F2",2007
"KY112122","CH212_SGA.2F3",2007
"KY112123","CH212_SGA.2G1",2007
"KY112124","CH212_SGA.2G2",2007
"KY112125","CH212_SGA.2G5",2007
"KY112126","CH212_SGA.2H9",2007
"KY112127","CH302",2008
"KY112128","CH302",2008
"KY112129","CH302",2008
"KY112130","CH302",2008
"KY112131","CH302",2008
"KY112132","CH302",2008
"KY112133","CH302",2008
"KY112134","CH302",2008
"KY112135","CH302",2008
"KY364886","CH302",2008
"KY111947","CH302_SGA.5.01",2008
"KY111948","CH302_SGA.5.04",2008
"KY111949","CH302_SGA.5.05",2008
"KY111950","CH302_SGA.5.06",2008
"KY111951","CH302_SGA.5.08",2008
"KY111952","CH302_SGA.5.09",2008
"KY111953","CH302_SGA.5.12",2008
"KY111954","CH302_SGA.5.13",2008
"KY111955","CH302_SGA.5.14",2008
"KY111956","CH302_SGA.5.15",2008
"KY111957","CH302_SGA.5.16",2008
"KY111958","CH302_SGA.5.17",2008
"KY111959","CH302_SGA.5.18",2008
"KY111960","CH302_SGA.5.19",2008
"KY111961","CH302_SGA.5.20",2008
"KY111962","CH302_SGA.5.21",2008
"KY111963","CH302_SGA.5.23",2008
"KY111964","CH302_SGA.5.24",2008
"KY112136","CH378",2008
"KY112137","CH378",2008
"KY112138","CH378",2008
"KY112139","CH378",2008
"KY112140","CH378",2008
"KY112141","CH378",2008
"KY112142","CH378",2008
"KY112143","CH378",2008
"KY112144","CH378",2008
"KY112145","CH378",2008
"KY112146","CH378",2008
"KY112147","CH378",2008
"KY112148","CH378",2008
"KY112149","CH378",2008
"KY112150","CH378",2008
"KY112151","CH378",2008
"KY112152","CH378",2008
"KY112153","CH378",2008
"KY112154","CH378",2008
"KY112155","CH378",2008
"KY112156","CH378",2008
"KY112157","CH378",2008
"KY112158","CH378",2008
"KY112159","CH378",2008
"KY112160","CH378_SGA.1A3",2008
"KY112161","CH378_SGA.1A4",2008
"KY112162","CH378_SGA.1B2",2008
"KY112163","CH378_SGA.1C4",2008
"KY112164","CH378_SGA.1D1",2008
"KY112165","CH378_SGA.1D2",2008
"KY112166","CH378_SGA.1D6",2008
"KY112167","CH378_SGA.1F4",2008
"KY112168","CH378_SGA.1F5",2008
"KY112169","CH378_SGA.1F8",2008
"KY112170","CH378_SGA.1G11",2008
"KY112171","CH378_SGA.1G2",2008
"KY112172","CH378_SGA.1H4",2008
"KY112173","CH378_SGA.1H9",2008
"KY112174","CH378_SGA.2B11",2008
"KY112175","CH378_SGA.2C10",2008
"KY112176","CH378_SGA.2C4",2008
"KY112177","CH378_SGA.2D12",2008
"KY112178","CH378_SGA.2D5",2008
"KY112179","CH378_SGA.2E11",2008
"KY112180","CH378_SGA.2E6",2008
