Accession,Species-group,Species,Group,Subtype,Isolate,Year,Country,Host_common_name,Host,pubmedID
AF084936,PLV,HIV-1,M,G,DRCBL,1996,DRC,human,Homo sapiens,10221535
U88826,PLV,HIV-1,M,G,NG083,1992,Nigeria,human,Homo sapiens,9621027
AF005496,PLV,HIV-1,M,H,90CF56.1,1990,Cent. Afr. Rep.,human,Homo sapiens,9621028
AF190127,PLV,HIV-1,M,H,VI991,1994,Belgium ,human,Homo sapiens,10983640
AF190128,PLV,HIV-1,M,H,VI997,1993,Belgium ,human,Homo sapiens,10983641
AF082394,PLV,HIV-1,M,J,SE9280.9,1994,Sweden (DRC),human,Homo sapiens,10052760
AF082395,PLV,HIV-1,M,J,SE9173.3,1993,Sweden (DRC),human,Homo sapiens,10052761
AJ249235,PLV,HIV-1,M,K,EQTB11C,1997,DRC,human,Homo sapiens,10659053
AJ249239,PLV,HIV-1,M,K,MP535,1996,Cameroon,human,Homo sapiens,10659054
AY532635,PLV,HIV-1,N,,DJO0131,2002,Cameroon,human,Homo sapiens,
DQ017382,PLV,HIV-1,N,,04CM_1015_04,2004,Cameroon,human,Homo sapiens,
DQ017383,PLV,HIV-1,N,,04CM_1131_03,2004,Cameroon,human,Homo sapiens,
AJ006022,PLV,HIV-1,N,,YBF30,1995,Cameroon,human,Homo sapiens,
L20571,PLV,HIV-1,O,,MVP5180,1991,Cameroon,human,Homo sapiens,
AY169816,PLV,HIV-1,O,,98CMA105,1998,Cameroon,human,Homo sapiens,
AY169811,PLV,HIV-1,O,,98CMABB197,1998,Cameroon,human,Homo sapiens,
AJ302646,PLV,HIV-1,O,,99SE_MP1299,1999,Senegal,human,Homo sapiens,
AY169814,PLV,HIV-1,O,,99USTWLA,1999,USA,human,Homo sapiens,
HQ179987,PLV,HIV-1,P,,U14788,2006,Cameroon,human,Homo sapiens,
KC693505,PLV,HIV-2,-,,07IC_TNP3,2007,Cote d'Ivoire,human,Homo sapiens,
M30502,PLV,HIV-2,A,,BEN,-,Germany,human,Homo sapiens,
AF082339,PLV,HIV-2,A,,ALI,-,Portugal,human,Homo sapiens,
M31113,PLV,HIV-2,A,,ST_JSP4_27,1986,Senegal,human,Homo sapiens,
U27200,PLV,HIV-2,B,,EHO,-,Cote d'Ivoire,human,Homo sapiens,
X61240,PLV,HIV-2,B,,D205_ALT,1986,Ghana,human,Homo sapiens,
AF208027,PLV,HIV-2,G,,Abt96,1992,Cote d'Ivoire,human,Homo sapiens,
AY530889,PLV,HIV-2,H,,12034,1996,France,human,Homo sapiens,
AY340701,PLV,SIVagm,,agm,L1_99CML1,1999,Cameroon,African green monkeys,Chlorocebus sabaeus,
M29975,PLV,SIVagm,,agm,AGM155,-,Kenya,vervet monkey,Chlorocebus pygerythrus,
KR862336,PLV,SIVagm,,agm,VSAC4004,2010,Zambia,vervet monkey,Chlorocebus pygerythrus,
KR862363,PLV,SIVagm,,agm,VSAG1003,2010,Zambia,vervet monkey,Chlorocebus pygerythrus,
KR862356,PLV,SIVagm,,agm,VSAM0022,2010,Zambia,vervet monkey,Chlorocebus pygerythrus,
M30931,PLV,SIVagm,,agm,SIVagm,,,pig-tailed macaque,Macaca nemestrina,
M66437,PLV,SIVagm-gri,,agm-gri,GRI_677_gri_1,-,Ethiopia,grivet monkey,Chlorocebus aethiops,
LC114462,PLV,SIVagm-mal,,agm-mal,SIVagmMAL_ZMB,2009,Zambia,malbrouk monkey,Chlorocebus cynosuros,
U58991,PLV,SIVagm-tan1,,agm-tan1,SIVagmTAN1,-,Uganda,tantalus monkey,Chlorocebus tantalus,
AF301156,PLV,SIVcol,,col,CGU1,-,Cameroon,colobus guereza,Colobus guereza,
KF214240,PLV,SIVcol,,col,BWC01,2010,Uganda,colobus guereza,Colobus guereza,
KF214241,PLV,SIVcol,,col,BWC07,2010,Uganda,colobus guereza,Colobus guereza,
JQ866001,PLV,SIVcpz,,cpz,BF1167,2006,Congo,chimpazee,Pan troglodytes,
U42720,PLV,SIVcpz,,cpz,ANT,1990,Congo,chimpazee,Pan troglodytes,
AY169968,PLV,SIVcpz,,cpz,SIVcpzCAM13,2001,Cameroon,chimpazee,Pan troglodytes,
KP861923,PLV,SIVcpz,,cpz,LB715,2005,Cameroon,chimpazee,Pan troglodytes,
EF535993,PLV,SIVcpz,,cpz,SIVcpzDP943,2005,Cameroon,chimpazee,Pan troglodytes,
DQ373065,PLV,SIVcpz,,cpz,SIVcpzEK505,2005,Cameroon,chimpazee,Pan troglodytes,
DQ373064,PLV,SIVcpz,,cpz,SIVcpzLB7,2005,Cameroon,chimpazee,Pan troglodytes,
DQ373063,PLV,SIVcpz,,cpz,SIVcpzMB66,2005,Cameroon,chimpazee,Pan troglodytes,
EF535994,PLV,SIVcpz,,cpz,SIVcpzMB897,2005,Cameroon,chimpazee,Pan troglodytes,
AF382828,PLV,SIVcpz,,cpz,SIVcpzGAB2,1988,Gabon,chimpazee,Pan troglodytes,
AF447763,PLV,SIVcpz,,cpz,TAN1,2000,Tanzania,chimpazee,Pan troglodytes,
JQ768416,PLV,SIVcpz,,cpz,SIVcpzTAN13,2006,Tanzania,chimpazee,Pan troglodytes,
JN091690,PLV,SIVcpz,,cpz,UG38,2009,Tanzania,chimpazee,Pan troglodytes,
AF103818,PLV,SIVcpz,,cpz,US_Marilyn,1985,Usa,chimpazee,Pan troglodytes,
X52154,PLV,SIVcpz,,cpz,SIVcpz,,,chimpanzee,Pan troglodytes,
DQ374658,PLV,SIVcpz,,cpz,SIVcpzTAN3.1,,,chimpanzee,Pan troglodytes,
FJ919724,PLV,SIVdeb,,deb,SIVdeb04CMPF3061,2004,Cameroon,De Brazza's monkey,Cercopithecus neglectus,
AY523865,PLV,SIVdeb,,deb,CM40,1999,Cameroon,De Brazza's monkey,Cercopithecus neglectus,
AY523866,PLV,SIVdeb,,deb,CM5,1999,Cameroon,De Brazza's monkey,Cercopithecus neglectus,
AJ580407,PLV,SIVden,,den,SIVden,,,Dent's Mona monkey,Cercopithecus denti,
AY159321,PLV,SIVdrl1,,drl1,SIVdrl1,,,drill monkey,Mandrillus leucophaeus,
FJ424871,PLV,SIVgor,,gor,SIVgorCP684con,2004,Cameroon,gorilla,Gorilla gorilla,
FJ424866,PLV,SIVgor,,gor,SIVgor2139_287,2007,Cameroon,gorilla,Gorilla gorilla,
FJ424863,PLV,SIVgor,,gor,SIVgorCP2135con,2007,Cameroon,gorilla,Gorilla gorilla,
KP004989,PLV,SIVgor,,gor,SIVgor_BPID1,2012,Cameroon,gorilla,Gorilla gorilla,
KP004991,PLV,SIVgor,,gor,SIVgor_BQID2,2012,Cameroon,gorilla,Gorilla gorilla,
KP004990,PLV,SIVgor,,gor,SIVgor_BPID15,2013,Cameroon,gorilla,Gorilla gorilla,
AF468659,PLV,SIVgsn,,gsn,CN166,1999,Cameroon,greater spot-nosed monkeys,Cercopithecus nictitans,
AF468658,PLV,SIVgsn,,gsn,CN71,1999,Cameroon,greater spot-nosed monkeys,Cercopithecus nictitans,
AF188115,PLV,SIVlhoest,,lhoest,SIVlhoest485,1988,Congo,L'Hoest monkeys,Cercopithecus lhoesti,
AF188116,PLV,SIVlhoest,,lhoest,SIVlhoest524,1988,Congo,L'Hoest monkeys,Cercopithecus lhoesti,
AF075269,PLV,SIVlhoest,,lhoest,lho7,-,Kenya,L'Hoest monkeys,Cercopithecus lhoesti,
U79412,PLV,SIVmac,,mac,MNE027,-,Usa,pig-tailed macaque,Macaca nemestrina,
M33262,PLV,SIVmac,,mac,239,-,Usa,rhesus macaque,Macaca mulatta,
M27470,PLV,SIVmnd,,mnd,MNDGB1,-,Gabon,mandrill,Mandrillus sphinx,
AF367411,PLV,SIVmnd,,mnd,CM16,1998,Cameroon,mandrill,Mandrillus sphinx,
AF328295,PLV,SIVmnd,,mnd,M14,-,Gabon,mandrill,Mandrillus sphinx,
AY159322,PLV,SIVmnd,,mnd,5440,-,-,mandrill,Mandrillus sphinx,
EF070330,PLV,SIVmus,,mus,CM1239,2001,Cameroon,mustache monkey,Saguinus imperator,
EF070329,PLV,SIVmus,,mus,CM1246,2001,Cameroon,mustache monkey,Saguinus imperator,
KF304707,PLV,SIVmus,,mus,09GabOI81,2009,Gabon,mustache monkey,Saguinus imperator,
FM165200,PLV,SIVocm,,ocm,97CI12,1997,Cote D'Ivoire,olive colobus,Procolobus verus,
HM803690,PLV,SIVrcm,,rcm,SIVagi_00CM312,2000,Cameroon,red-capped mangabey,Cercocebus torquatus,
HM803689,PLV,SIVrcm,,rcm,SIVrcm_02CM8081,2002,Cameroon,red-capped mangabey,Cercocebus torquatus,
AF382829,PLV,SIVrcm,,rcm,SIVRCMGAB1,-,Gabon,red-capped mangabey,Cercocebus torquatus,
AF349681,PLV,SIVrcm,,rcm,SIVrcmNg409,,,red-capped mangabey,Cercocebus torquatus,
KY497574,PLV,SIVrtg,,rtg,SIVasc_13DRC_I8,2013,Congo,red-tailed guenon,Cercopithecus ascanius,
KJ461716,PLV,SIVrtg,,rtg,RT03,2010,Uganda,red-tailed guenon,Cercopithecus ascanius,
KJ461715,PLV,SIVrtg,,rtg,RT08,2010,Uganda,red-tailed guenon,Cercopithecus ascanius,
KJ461714,PLV,SIVrtg,,rtg,RT11,2010,Uganda,red-tailed guenon,Cercopithecus ascanius,
U04005,PLV,SIVsab,,sab,SAB1,-,Senegal,sabaeus monkey,Chlorocebus sabaeus,
JX860430,PLV,SIVsmm,,smm,SIVsmCI2,1979,Cote D'Ivoire,sooty mangabey,Cercocebus atys,
JX860432,PLV,SIVsmm,,smm,SIVsmSL92A,1992,Sierra Leone,sooty mangabey,Cercocebus atys,
AF334679,PLV,SIVsmm,,smm,SL92B,1992,Sierra Leone,sooty mangabey,Cercocebus atys,
JX860414,PLV,SIVsmm,,smm,FTq,2006,Usa,sooty mangabey,Cercocebus atys,
JQ864086,PLV,SIVsmm,,smm,SIVsmE660_FL8,2011,Usa,sooty mangabey,Cercocebus atys,
JX860407,PLV,SIVsmm,,smm,CFU212,1986,Usa,sooty mangabey,Cercocebus atys,
M80194,PLV,SIVsmm,,smm,H9,-,Usa,sooty mangabey,Cercocebus atys,
X14307,PLV,SIVsmm,,smm,SIVsmm,,,sooty mangabey,Cercocebus atys,
AF131870,PLV,SIVsun,,sun,L14,1998,Gabon,sun-tailed monkey,Cercopithecus solatus,
AY523867,PLV,SIVsyk,,syk,KE51,-,Kenya,Sykes' monkey,Cercopithecus albogularis,
L06042,PLV,SIVsyk,,syk,SYK173_COMGNM,-,Kenya,Sykes' monkey,Cercopithecus albogularis,
AY655744,PLV,SIVtal,,tal,266,2000,Cameroon,northern talapoin,Miopithecus ogouensis,
AM182197,PLV,SIVtal,,tal,8023,2001,Cameroon,northern talapoin,Miopithecus ogouensis,
AM713177,PLV,SIVwrc,,wrc,98CI04,1998,Cote D'Ivoire,western red colobus,Piliocolobus badius,
AM937062,PLV,SIVwrc,,wrc,Pbt_05GM_X02,2005,Gambia,western red colobus,Piliocolobus badius,
AF188114,PLV,SIVlhoest,,lhoest,SIVlhoest447,,,L'Hoest monkeys,Cercopithecus lhoesti,
DJ048201,PLV,SIVver,,ver,SIVver,,,vervet monkey,Chlorocebus pygerythrus,
U56928,FLV,FIV,,,FIV-Oma,,,Pallas' cat,,
L06906,OCLV,SRLV-A,A,,OVMV,,Iceland,domestic sheep,Ovis aires,
AF327877,ELV,,,,Liaoning,,,domestic horse,Equus caballus,
EF455615,FLV,,,,CoLV,,USA,cougar,Puma concolor,
AY445885,OCLV,SRLV-B,B,,Cork,,USA,domestic goat,Capra hircus,
AY618998,PLV,HIV-1,O,,,,,,,
JN091691,PLV,SIVtan,,,,,,,,
M76764,PLV,SIVmac,,,,,,,,
M19499,PLV,SIVmac,,,,,,,,
JQ864084,PLV,SIVsm,,,,,,,,
JX648292,PLV,SIVmac,,,,,,,,
JX648291,PLV,SIVsm,,,,,,,,
MF370842,PLV,SIVsm,,,,,,,,
